angle,velocity,max_pressure_pa,risk_score,safety_factor
120.0,12.0,232.19,0.654,1.53
120.0,1.0,1.58,0.0045,224.17
240.0,12.0,386.76,1.0895,0.92
240.0,5.0,65.54,0.1846,5.42
0.0,3.0,14.36,0.0404,24.73
240.0,8.0,170.5,0.4803,2.08
0.0,20.0,649.19,1.8287,0.55
120.0,18.0,525.21,1.4795,0.68
240.0,3.0,23.6,0.0665,15.04
0.0,8.0,102.53,0.2888,3.46
240.0,18.0,877.21,2.471,0.4
120.0,15.0,363.91,1.0251,0.98
240.0,15.0,607.96,1.7126,0.58
0.0,5.0,39.98,0.1126,8.88
0.0,10.0,160.82,0.453,2.21
240.0,1.0,1.86,0.0052,190.8
120.0,20.0,649.19,1.8287,0.55
120.0,5.0,39.98,0.1126,8.88
240.0,20.0,1084.72,3.0556,0.33
0.0,12.0,232.19,0.654,1.53
120.0,8.0,102.53,0.2888,3.46
120.0,3.0,14.36,0.0404,24.73
120.0,10.0,160.82,0.453,2.21
240.0,10.0,267.85,0.7545,1.33
0.0,15.0,363.91,1.0251,0.98
0.0,1.0,1.58,0.0045,224.17
0.0,18.0,525.21,1.4795,0.68
