angle,velocity,risk
0.0,1.0,0.006691468309859156
0.0,10.0,0.6795051549295774
0.0,12.0,0.9810718309859155
0.0,15.0,1.0
0.0,18.0,1.0
0.0,20.0,1.0
0.0,3.0,0.06066365915492957
0.0,5.0,0.16891576056338028
0.0,8.0,0.43323029577464794
120.0,1.0,0.006691468309859156
120.0,10.0,0.6795051549295774
120.0,12.0,0.9810718309859155
120.0,15.0,1.0
120.0,18.0,1.0
120.0,20.0,1.0
120.0,3.0,0.06066365915492957
120.0,5.0,0.16891576056338028
120.0,8.0,0.43323029577464794
240.0,1.0,0.007861783943661972
240.0,10.0,1.0
240.0,12.0,1.0
240.0,15.0,1.0
240.0,18.0,1.0
240.0,20.0,1.0
240.0,3.0,0.09972632957746477
240.0,5.0,0.27690943521126765
240.0,8.0,0.7204092676056338
